outer_fold,split,patient,seed,train_missing_location,train_missing_prob
1,train_outer,14169967,18473,blood,0.2
1,train_outer,16000430,18473,blood,0.2
1,train_outer,374909,18473,blood,0.2
1,train_outer,13256558,18473,blood,0.2
1,train_outer,15563805,18473,blood,0.2
1,train_outer,18900473,18473,blood,0.2
1,train_outer,16471324,18473,blood,0.2
1,train_outer,20363213,18473,blood,0.2
1,train_outer,20416158,18473,blood,0.2
1,train_outer,20411050,18473,blood,0.2
1,train_outer,10584350,18473,blood,0.2
1,train_outer,10651619,18473,blood,0.2
1,train_outer,20159853,18473,blood,0.2
1,train_outer,11818229,18473,blood,0.2
1,train_outer,17261908,18473,blood,0.2
1,train_outer,10012210,18473,blood,0.2
1,train_outer,192787,18473,blood,0.2
1,train_outer,20677961,18473,blood,0.2
1,train_outer,14653930,18473,blood,0.2
1,train_outer,11932685,18473,blood,0.2
1,train_outer,586698,18473,blood,0.2
1,train_outer,16830390,18473,blood,0.2
1,train_outer,16808905,18473,blood,0.2
1,train_outer,16398336,18473,blood,0.2
1,train_outer,20810268,18473,blood,0.2
1,train_outer,10680627,18473,blood,0.2
1,train_outer,310824,18473,blood,0.2
1,train_outer,15263444,18473,blood,0.2
1,train_outer,10548249,18473,blood,0.2
1,train_outer,14279650,18473,blood,0.2
1,train_outer,21068674,18473,blood,0.2
1,train_outer,20598191,18473,blood,0.2
1,train_outer,10148300,18473,blood,0.2
1,train_outer,16784223,18473,blood,0.2
1,train_outer,15876887,18473,blood,0.2
1,train_outer,21200783,18473,blood,0.2
1,train_outer,10262640,18473,blood,0.2
1,train_outer,11822030,18473,blood,0.2
1,train_outer,12224103,18473,blood,0.2
1,train_outer,12527217,18473,blood,0.2
1,train_outer,12540915,18473,blood,0.2
1,train_outer,12818978,18473,blood,0.2
1,train_outer,12834264,18473,blood,0.2
1,train_outer,14246141,18473,blood,0.2
1,train_outer,14826120,18473,blood,0.2
1,train_outer,14947437,18473,blood,0.2
1,train_outer,15398979,18473,blood,0.2
1,train_outer,15907405,18473,blood,0.2
1,train_outer,15970864,18473,blood,0.2
1,train_outer,16186433,18473,blood,0.2
1,train_outer,16220376,18473,blood,0.2
1,train_outer,16470184,18473,blood,0.2
1,train_outer,17626540,18473,blood,0.2
1,train_outer,17923173,18473,blood,0.2
1,train_outer,18242610,18473,blood,0.2
1,train_outer,18486672,18473,blood,0.2
1,train_outer,18711589,18473,blood,0.2
1,train_outer,18982916,18473,blood,0.2
1,train_outer,19032437,18473,blood,0.2
1,train_outer,19052019,18473,blood,0.2
1,train_outer,19316184,18473,blood,0.2
1,train_outer,10905401,18473,blood,0.2
1,train_outer,11721931,18473,blood,0.2
1,train_outer,11834621,18473,blood,0.2
1,train_outer,11963103,18473,blood,0.2
1,train_outer,14375972,18473,blood,0.2
1,train_outer,15001347,18473,blood,0.2
1,train_outer,15162605,18473,blood,0.2
1,train_outer,15366427,18473,blood,0.2
1,train_outer,15423946,18473,blood,0.2
1,train_outer,15697092,18473,blood,0.2
1,train_outer,17370457,18473,blood,0.2
1,train_outer,18622263,18473,blood,0.2
1,train_outer,15141193,18473,blood,0.2
1,train_outer,577697,18473,blood,0.2
1,train_outer,10044748,18473,blood,0.2
1,train_outer,10603027,18473,blood,0.2
1,train_outer,10848834,18473,blood,0.2
1,train_outer,11411793,18473,blood,0.2
1,train_outer,11622567,18473,blood,0.2
1,train_outer,11800552,18473,blood,0.2
1,train_outer,12069946,18473,blood,0.2
1,train_outer,12148955,18473,blood,0.2
1,train_outer,12583361,18473,blood,0.2
1,train_outer,13282934,18473,blood,0.2
1,train_outer,13691299,18473,blood,0.2
1,train_outer,13793534,18473,blood,0.2
1,train_outer,13848180,18473,blood,0.2
1,train_outer,14035251,18473,blood,0.2
1,train_outer,14524333,18473,blood,0.2
1,train_outer,14741794,18473,blood,0.2
1,train_outer,14785724,18473,blood,0.2
1,train_outer,15031324,18473,blood,0.2
1,train_outer,15256029,18473,blood,0.2
1,train_outer,15293082,18473,blood,0.2
1,train_outer,16010363,18473,blood,0.2
1,train_outer,16915450,18473,blood,0.2
1,train_outer,16999701,18473,blood,0.2
1,train_outer,17194838,18473,blood,0.2
1,train_outer,17843402,18473,blood,0.2
1,train_outer,17861159,18473,blood,0.2
1,train_outer,17959052,18473,blood,0.2
1,train_outer,18653723,18473,blood,0.2
1,train_outer,18661809,18473,blood,0.2
1,train_outer,18664964,18473,blood,0.2
1,train_outer,18793699,18473,blood,0.2
1,train_outer,18799499,18473,blood,0.2
1,train_outer,18808752,18473,blood,0.2
1,train_outer,18818037,18473,blood,0.2
1,train_outer,18895067,18473,blood,0.2
1,train_outer,19171757,18473,blood,0.2
1,train_outer,19309727,18473,blood,0.2
1,train_outer,11180416,18473,blood,0.2
1,train_outer,11385096,18473,blood,0.2
1,train_outer,11401016,18473,blood,0.2
1,train_outer,11489340,18473,blood,0.2
1,train_outer,11594412,18473,blood,0.2
1,train_outer,11794273,18473,blood,0.2
1,train_outer,11814382,18473,blood,0.2
1,train_outer,11906931,18473,blood,0.2
1,train_outer,12636815,18473,blood,0.2
1,train_outer,14040222,18473,blood,0.2
1,train_outer,14341918,18473,blood,0.2
1,train_outer,14732179,18473,blood,0.2
1,train_outer,15299004,18473,blood,0.2
1,train_outer,16671380,18473,blood,0.2
1,train_outer,17137601,18473,blood,0.2
1,train_outer,18199507,18473,blood,0.2
1,train_outer,18543332,18473,blood,0.2
1,train_outer,12093400,18473,blood,0.2
1,train_outer,13908208,18473,blood,0.2
1,train_outer,14210746,18473,blood,0.2
